YEAR,WEEK,PROVINCE,DOSE,VACCINATIONS
2020,53,Brussels,A,39.0
2020,53,Hainaut,A,19.0
2020,53,Vlaams-Brabant,A,233.0
2021,01,Antwerpen,A,950.0
2021,01,Brabant Wallon,A,552.0
2021,01,Brussels,A,1798.0
2021,01,Hainaut,A,1060.0
2021,01,Limburg,A,113.0
2021,01,Liège,A,1109.0
2021,01,Luxembourg,A,697.0
2021,01,Namur,A,385.0
2021,01,Oost-Vlaanderen,A,685.0
2021,01,Vlaams-Brabant,A,1027.0
2021,01,West-Vlaanderen,A,1419.0
2021,02,Antwerpen,A,8519.0
2021,02,Antwerpen,B,10.0
2021,02,Brabant Wallon,A,1297.0
2021,02,Brussels,A,5216.0
2021,02,Hainaut,A,4163.0
2021,02,Limburg,A,3533.0
2021,02,Liège,A,4666.0
2021,02,Liège,B,68.0
2021,02,Luxembourg,A,1359.0
2021,02,Namur,A,1382.0
2021,02,Oost-Vlaanderen,A,5545.0
2021,02,Vlaams-Brabant,A,5095.0
2021,02,West-Vlaanderen,A,8723.0
2021,03,Antwerpen,A,11908.0
2021,03,Antwerpen,B,15.0
2021,03,Antwerpen,C,12.0
2021,03,Brabant Wallon,A,2281.0
2021,03,Brussels,A,6125.0
2021,03,Brussels,B,39.0
2021,03,Hainaut,A,6391.0
2021,03,Hainaut,B,18.0
2021,03,Limburg,A,5233.0
2021,03,Liège,A,6422.0
2021,03,Liège,B,68.0
2021,03,Luxembourg,A,1555.0
2021,03,Namur,A,2637.0
2021,03,Oost-Vlaanderen,A,10297.0
2021,03,Vlaams-Brabant,A,8076.0
2021,03,Vlaams-Brabant,B,226.0
2021,03,Vlaams-Brabant,C,11.0
2021,03,West-Vlaanderen,A,10685.0
2021,04,Antwerpen,A,13071.0
2021,04,Antwerpen,B,922.0
2021,04,Antwerpen,C,16.0
2021,04,Brabant Wallon,A,2439.0
2021,04,Brabant Wallon,B,530.0
2021,04,Brussels,A,6295.0
2021,04,Brussels,B,1655.0
2021,04,Hainaut,A,6618.0
2021,04,Hainaut,B,971.0
2021,04,Limburg,A,5778.0
2021,04,Limburg,B,108.0
2021,04,Liège,A,7069.0
2021,04,Liège,B,1159.0
2021,04,Luxembourg,A,1838.0
2021,04,Luxembourg,B,686.0
2021,04,Namur,A,3091.0
2021,04,Namur,B,373.0
2021,04,Oost-Vlaanderen,A,11176.0
2021,04,Oost-Vlaanderen,B,613.0
2021,04,Oost-Vlaanderen,C,10.0
2021,04,Vlaams-Brabant,A,8936.0
2021,04,Vlaams-Brabant,B,923.0
2021,04,Vlaams-Brabant,C,15.0
2021,04,West-Vlaanderen,A,11565.0
2021,04,West-Vlaanderen,B,1335.0
2021,05,Antwerpen,A,13650.0
2021,05,Antwerpen,B,8153.0
2021,05,Antwerpen,C,21.0
2021,05,Brabant Wallon,A,2692.0
2021,05,Brabant Wallon,B,1223.0
2021,05,Brussels,A,6507.0
2021,05,Brussels,B,4797.0
2021,05,Hainaut,A,7021.0
2021,05,Hainaut,B,3991.0
2021,05,Limburg,A,5856.0
2021,05,Limburg,B,3271.0
2021,05,Liège,A,7798.0
2021,05,Liège,B,4532.0
2021,05,Luxembourg,A,1946.0
2021,05,Luxembourg,B,1311.0
2021,05,Namur,A,3396.0
2021,05,Namur,B,1302.0
2021,05,Oost-Vlaanderen,A,11623.0
2021,05,Oost-Vlaanderen,B,5265.0
2021,05,Oost-Vlaanderen,C,11.0
2021,05,Vlaams-Brabant,A,9117.0
2021,05,Vlaams-Brabant,B,4892.0
2021,05,Vlaams-Brabant,C,16.0
2021,05,West-Vlaanderen,A,11752.0
2021,05,West-Vlaanderen,B,8206.0
2021,06,Antwerpen,A,13812.0
2021,06,Antwerpen,B,11391.0
2021,06,Antwerpen,C,24.0
2021,06,Brabant Wallon,A,2862.0
2021,06,Brabant Wallon,B,2158.0
2021,06,Brussels,A,6636.0
2021,06,Brussels,B,5797.0
2021,06,Hainaut,A,7682.0
2021,06,Hainaut,B,6126.0
